Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Garage Area,Yr Sold,SalePrice
8854,6,6,1916,1950,952,952,0,952,1,0,2,1,4,192,2009,121000
6000,4,6,1936,1950,672,757,567,1324,1,0,3,1,6,240,2009,128000
6000,6,9,1937,2000,698,786,390,1176,1,0,2,1,4,624,2009,134900
6000,5,8,1925,1997,884,884,464,1348,1,0,3,1,5,216,2009,117000
6000,6,6,1939,1950,780,825,587,1412,1,0,4,1,6,280,2009,132500
6000,5,5,1924,1950,468,822,320,1142,1,0,3,1,6,320,2009,93000
6000,6,7,1926,2004,884,904,0,904,1,0,2,1,4,180,2009,119000
6911,5,5,1924,1950,1145,1301,0,1301,1,0,2,1,5,440,2009,100000
6120,5,6,1936,1950,927,1067,472,1539,1,1,3,1,5,576,2009,141500
6120,4,7,1935,1995,884,989,584,1573,1,0,3,1,6,240,2009,133000
6120,2,3,1936,1950,264,800,0,800,1,0,1,1,4,0,2009,60000
6120,5,7,1931,1993,715,875,0,875,1,0,2,1,5,180,2009,105000
6120,5,6,1925,1999,960,995,0,995,1,0,2,1,5,264,2009,115000
6120,5,6,1938,1950,952,994,588,1582,2,0,3,1,6,250,2009,150000
8635,5,5,1925,1950,1072,1072,0,1072,1,0,2,1,5,1184,2009,126500
11888,6,6,1916,1994,844,1445,689,2134,2,0,5,1,10,441,2009,214500
11414,7,8,1910,1993,728,1136,883,2019,1,0,3,1,8,532,2009,167500
8094,6,6,1915,1950,1048,1048,720,1768,2,0,3,1,8,576,2009,155000
2500,7,8,1915,2005,910,916,910,1826,1,1,4,1,7,164,2009,155000
9928,7,8,1915,1994,672,1272,672,1944,2,0,3,1,8,216,2009,179900
5520,6,6,1912,1950,755,929,929,2229,1,0,5,1,8,0,2009,104000
3000,5,1,1922,1950,1040,1088,1040,2128,2,0,4,2,11,0,2009,62500
6876,6,5,1927,1950,720,1146,784,1930,2,0,4,1,8,316,2009,149000
6240,4,5,1925,1950,780,848,0,1208,1,0,2,1,5,539,2009,103000
5775,6,7,1915,2002,483,741,686,1427,1,0,3,1,7,379,2009,123000
5852,7,5,1902,2000,1020,978,886,1864,2,1,6,1,9,0,2009,97500
5160,6,6,1927,1950,1204,1204,462,1666,1,0,3,1,4,384,2009,135000
5160,4,6,1923,1950,858,892,0,892,1,0,1,1,5,0,2009,70000
10320,6,7,1915,1965,698,754,649,1403,1,1,3,1,7,308,2009,116000
4280,4,9,1946,2001,560,704,0,704,1,0,2,1,4,220,2009,88750
10800,5,5,1987,1988,1200,1200,0,1200,3,0,3,1,5,0,2009,179000
10800,5,5,1987,1988,1200,1200,0,1200,3,0,3,1,5,0,2009,179000
10547,5,5,1978,1978,1152,1152,0,1152,2,0,2,2,6,252,2009,159900
10020,1,1,1922,1950,683,904,0,904,0,1,1,1,4,0,2009,61000
6629,6,6,1925,1950,672,697,672,1369,2,0,3,1,6,300,2009,103600
9780,5,3,1934,1950,585,687,425,1112,2,0,4,1,6,226,2009,63000
12886,5,6,1963,1999,520,1464,0,1464,2,0,3,1,6,480,2009,175000
8816,5,6,1963,1963,1121,1121,0,1121,1,0,3,1,5,480,2009,139000
11184,6,5,1978,1978,918,918,765,1683,2,1,3,1,7,440,2009,172500
11625,5,6,1967,1967,1052,1052,0,1052,1,1,3,1,6,668,2009,113500
7800,5,7,1967,2004,864,899,0,899,1,0,3,1,5,288,2009,130000
8014,6,5,1978,1978,456,1034,0,1034,1,0,3,1,5,504,2009,149900
7252,5,5,1982,1982,858,858,0,858,1,0,2,1,5,576,2009,134900
8740,5,6,1982,1982,840,860,0,860,1,0,2,1,4,528,2009,137000
11616,5,5,1962,1962,1092,1092,0,1092,1,0,3,1,6,288,2009,139000
15400,5,5,1961,1961,552,904,611,1774,2,0,4,1,8,384,2009,165000
15312,6,5,1960,1960,1138,1138,0,1138,1,0,3,1,6,480,2009,148000
15584,5,5,1956,1956,825,2071,0,2071,1,1,4,1,9,336,2009,165000
9000,2,2,1947,1950,0,660,0,660,1,0,2,1,5,0,2009,63900
11250,4,5,1957,1989,1104,1104,684,1788,1,0,5,1,8,304,2009,161500
25095,5,8,1968,2003,1437,1473,0,1473,1,0,1,1,5,452,2009,143000
17140,4,6,1956,1956,1134,1229,0,1229,1,0,3,1,6,284,2009,135000
12342,4,5,1940,1950,861,861,0,861,1,0,1,1,4,539,2009,82500
10708,5,5,1955,1993,1617,1867,0,1867,1,0,2,1,7,303,2009,190000
13680,3,5,1955,1955,0,1733,0,1733,2,0,4,1,8,452,2009,139600
15635,4,5,1954,1954,0,1383,0,1383,1,0,2,1,6,498,2009,122000
9855,6,5,1956,1956,1436,1689,0,1689,1,0,3,1,7,480,2009,127500
9571,5,5,1956,1956,1073,1073,0,1073,1,0,2,1,5,340,2009,121500
9571,5,3,1958,1958,1276,1276,0,1276,1,0,3,1,5,350,2009,60000
9350,6,7,1946,1950,747,892,747,1639,1,1,3,1,6,240,2009,154400
9340,4,6,1941,1950,672,672,0,672,1,0,2,1,4,234,2009,113000
7440,5,6,1954,1954,1089,1089,0,1089,1,0,3,1,5,252,2009,125000
11500,4,3,1957,1957,0,845,0,845,1,0,3,1,5,290,2009,84000
4235,5,5,1984,1984,1049,1049,0,1049,2,0,2,1,5,266,2009,139500
11409,5,4,1949,2008,768,1148,568,1716,1,1,3,1,8,281,2009,131000
9060,6,5,1939,1950,560,698,560,1258,1,0,2,1,6,280,2009,105000
9084,4,5,1940,1950,755,755,755,1510,1,0,4,1,7,296,2009,108000
10778,7,6,1990,1991,1054,1061,0,1061,1,1,1,1,4,462,2009,162000
19255,6,5,1983,1983,520,1338,0,1338,1,1,2,1,5,576,2009,156500
12327,8,8,1983,2009,1496,1496,636,2132,1,1,1,1,5,612,2009,316600
14684,7,7,1990,1991,2158,2196,0,2196,2,0,3,1,7,701,2009,271900
9317,7,5,1993,1993,740,1006,769,1775,2,1,3,1,7,425,2009,213000
10560,7,5,1993,1994,1079,1079,800,1879,2,1,3,1,8,473,2009,239900
9828,8,5,1995,1995,1128,1142,878,2020,2,1,3,1,8,466,2009,239500
26400,5,7,1880,2007,0,1288,728,2016,1,0,4,1,7,576,2009,131000
7018,5,5,1979,1979,0,1535,0,1535,2,0,4,2,8,410,2009,118964
7018,5,5,1979,1979,1086,1224,0,1224,0,2,2,2,6,528,2009,153337
7018,5,5,1979,1979,0,1114,1114,2228,2,0,6,2,8,720,2009,147983
7018,5,5,1979,1979,0,1535,0,1535,2,0,4,2,8,400,2009,118858
7018,5,5,1979,1979,0,1535,0,1535,2,0,4,2,8,400,2009,118858
7018,5,5,1979,1979,0,1120,1120,2240,2,0,6,2,12,528,2009,142953
7040,5,5,1979,1979,1094,1229,0,1229,0,2,2,2,6,672,2009,148325
7007,5,5,1979,1979,0,1513,0,1513,2,0,4,2,8,400,2009,113722
11855,7,5,2000,2000,1168,1168,1619,2787,4,2,6,2,8,820,2009,269500
7939,7,5,2000,2000,1168,1168,1619,2787,4,2,6,2,8,820,2009,269500
7976,7,5,2000,2000,1168,1168,1619,2787,4,2,6,2,8,820,2009,269500
10933,9,5,2009,2009,1555,1680,0,1680,1,1,1,1,8,1138,2009,323262
10637,8,5,2007,2008,1705,1718,0,1718,2,0,3,1,7,826,2009,297000
10226,8,5,2008,2008,1622,1630,0,1630,2,0,3,1,8,860,2009,295493
10816,9,5,2008,2008,1720,1720,0,1720,2,0,3,1,8,846,2009,332000
9178,8,5,2008,2008,1468,1468,0,1468,2,0,3,1,6,904,2009,239900
10769,8,5,2007,2007,866,866,902,1768,2,1,3,1,7,578,2009,212000
11422,8,5,2007,2008,1838,1838,0,1838,2,0,3,1,7,524,2009,272500
11923,9,5,2007,2007,1800,1800,0,1800,2,0,2,1,7,702,2009,239000
8814,7,5,2006,2006,1604,1604,0,1604,2,1,3,1,8,660,2009,220000
6762,7,5,2007,2007,1282,1290,0,1290,2,0,2,1,6,662,2009,200000
10324,8,5,2008,2008,1254,1254,0,1254,2,0,2,1,5,810,2009,221800
7314,7,5,2007,2007,1232,1232,0,1232,2,0,2,1,6,632,2009,194500
11645,8,5,2005,2006,1498,1498,0,1498,2,0,3,1,7,844,2009,237000
11646,6,5,2005,2006,704,704,718,1422,2,1,3,1,7,440,2009,173000
12800,7,5,1989,1989,1518,1644,0,1644,2,0,2,1,5,569,2009,275000
16698,7,5,1992,1993,1449,944,815,1759,2,1,3,1,7,525,2009,233500
28698,5,5,1967,1967,1013,1160,966,2126,2,1,3,1,7,538,2009,185000
12464,5,5,1996,1996,1040,1040,0,1040,1,0,3,1,6,576,2009,152000
9757,5,7,1994,1994,990,990,0,990,1,0,3,1,5,440,2009,143000
15426,6,5,1997,1997,928,928,836,1764,2,1,3,1,7,470,2009,231500
10667,7,6,1996,1996,799,827,834,1661,2,1,3,1,6,550,2009,212000
14753,7,5,1998,1998,1463,1463,0,1463,2,0,3,1,5,539,2009,207000
10859,5,5,1994,1995,1097,1097,0,1097,1,1,3,1,6,672,2009,145000
8072,5,5,1994,1995,990,990,0,990,1,0,3,1,5,480,2009,138000
10400,7,5,1998,1998,866,866,913,1779,2,1,3,1,6,546,2009,197900
10335,7,5,1999,1999,1490,1501,0,1501,2,0,3,1,6,577,2009,204000
9017,7,5,1999,1999,1431,1431,0,1431,2,0,3,1,6,666,2009,192000
8750,6,5,1998,1998,928,928,844,1772,2,1,3,1,7,492,2009,200000
8935,7,5,2002,2002,831,831,829,1660,2,1,3,1,7,493,2009,195000
9808,7,5,2002,2002,1573,1573,0,1573,2,0,3,1,6,544,2009,227000
12420,7,5,2001,2001,944,944,896,1840,2,1,3,1,6,622,2009,230000
16285,7,5,2001,2002,1413,1430,0,1430,2,0,3,1,6,605,2009,187100
10739,7,5,2002,2001,1431,1444,0,1444,2,0,3,1,6,577,2009,203000
11166,7,5,2001,2001,1492,1492,0,1492,2,0,3,1,6,608,2009,201000
8430,5,5,1978,1978,1040,1040,0,1040,2,0,3,1,5,0,2009,124000
16269,5,5,1978,1978,907,907,0,907,1,0,3,1,5,343,2009,140000
6950,5,7,1979,1979,914,914,0,914,1,0,2,1,5,444,2009,134900
8800,5,7,1977,2008,1040,1040,0,1040,2,0,3,1,5,484,2009,150500
7000,5,8,1978,2005,864,864,0,864,1,0,3,1,6,336,2009,136500
9286,5,7,1977,1989,1268,1268,0,1268,1,1,3,1,5,252,2009,143500
15523,5,6,1972,1972,864,864,0,864,1,0,3,1,5,338,2009,133500
7200,5,5,1972,1972,894,894,0,894,1,0,2,1,6,600,2009,123000
7200,5,8,1972,2003,768,768,0,768,1,0,2,1,5,396,2009,133900
8445,5,7,1972,2007,768,768,0,768,1,0,2,1,5,396,2009,133000
11664,7,5,2002,2002,1569,1611,0,1611,2,0,3,1,6,1231,2009,250000
12334,8,5,2003,2003,1068,1068,1116,2184,2,1,4,1,8,570,2009,254750
11838,8,5,2001,2001,1753,1788,0,1788,2,0,3,1,7,522,2009,236500
11885,8,5,2001,2001,1299,1299,573,1872,2,1,3,1,7,531,2009,261500
11050,9,5,2000,2000,1440,1476,677,2153,2,1,3,1,8,736,2009,313000
8749,7,5,2002,2002,840,840,885,1725,2,1,3,1,6,550,2009,198500
11250,7,5,2001,2001,944,944,926,1870,2,1,3,1,6,608,2009,211000
15750,8,5,1999,2000,1462,1513,0,1513,2,0,2,1,5,521,2009,220000
11883,7,5,1996,1996,1504,1504,0,1504,2,0,3,1,6,478,2009,203000
12782,8,5,2002,2003,1822,1828,0,1828,2,0,3,1,7,523,2009,279500
8750,7,5,1997,1998,1417,1417,0,1417,2,0,3,1,7,511,2009,210000
9375,7,5,1997,1998,1057,1057,977,2034,2,1,3,1,8,645,2009,219500
8750,7,5,1996,1996,880,909,807,1716,2,1,2,1,7,512,2009,191000
9100,7,5,2001,2001,1212,1212,0,1212,2,0,3,1,6,573,2009,178000
9750,7,5,2000,2001,1630,1630,0,1630,2,0,3,1,6,451,2009,213000
4435,6,5,2003,2004,848,848,0,848,1,0,1,1,4,420,2009,144000
4435,6,5,2003,2003,848,848,0,848,1,0,1,1,4,420,2009,140000
10200,8,5,2007,2007,1578,1602,0,1602,2,0,3,1,7,810,2009,293200
9313,7,5,2004,2004,864,864,864,1728,2,1,3,1,7,572,2009,190000
8487,7,5,2004,2004,1500,1500,0,1500,2,0,3,1,6,570,2009,190000
8633,6,5,2005,2005,738,738,738,1476,2,1,3,1,7,540,2009,173500
11069,6,5,2007,2007,608,608,788,1396,2,1,3,1,6,440,2009,170000
8777,4,5,1949,2003,0,1126,0,1126,2,0,2,1,5,520,2009,108000
9937,5,7,1964,1999,1486,1486,0,1486,1,0,3,1,7,480,2009,167000
8877,4,6,1938,1958,816,816,0,816,1,0,2,1,3,288,2009,100000
7301,7,5,2003,2003,0,495,1427,1922,3,0,4,1,7,672,2009,198500
7950,6,6,1977,1977,690,698,728,1426,1,1,3,1,6,440,2009,159500
10682,4,6,1960,1971,1014,1149,0,1149,1,0,3,1,7,544,2009,127000
7200,6,6,1976,1976,1041,1125,0,1125,1,0,3,1,6,352,2009,125000
13286,9,5,2007,2008,1698,1698,0,1698,2,0,3,1,8,768,2009,320000
3675,6,5,2005,2006,547,1072,0,1072,1,0,2,1,5,525,2009,145500
9405,5,9,1947,2008,698,698,0,698,1,0,2,1,4,0,2009,118000
6410,4,5,1959,1959,876,876,0,876,1,0,3,1,5,320,2009,85000
11767,5,5,1950,1950,1078,1368,0,1368,1,0,3,1,6,195,2009,120000
8405,4,3,1945,1950,0,1088,441,1529,2,0,4,1,9,240,2009,98000
4060,5,8,1922,1950,864,864,0,864,1,0,2,1,4,0,2009,99900
10206,3,3,1952,1952,0,944,0,944,1,0,2,1,4,528,2009,82000
10926,5,5,1959,1959,1678,1678,0,1678,2,0,6,2,10,0,2009,119900
11767,5,5,1956,1956,1150,1560,0,1560,1,0,2,1,7,313,2009,103500
8926,4,3,1956,1956,672,960,0,960,1,0,3,1,5,288,2009,112000
12354,6,8,1920,2000,684,684,512,1196,1,0,3,1,7,528,2009,110000
8212,5,6,1941,1950,720,854,444,1298,1,0,3,1,6,256,2009,122000
10998,5,5,1941,1960,984,984,620,1604,2,0,3,1,6,660,2009,117000
6300,5,4,1938,1950,832,832,436,1268,1,1,3,1,7,250,2009,160000
4500,5,5,1932,2000,793,848,672,1520,1,0,3,1,6,281,2009,159434
8400,2,5,1920,1950,290,438,0,438,1,0,1,1,3,246,2009,60000
9900,6,7,1940,1950,778,944,545,1489,2,0,3,1,7,240,2009,139500
15863,7,3,1920,1970,824,1687,998,3082,2,1,5,1,12,672,2009,197000
5707,6,6,1935,1950,583,647,595,1242,1,1,3,1,6,180,2009,105000
7804,4,3,1928,1950,1122,1328,653,1981,2,0,4,1,7,576,2009,135000
8574,6,8,1916,2000,816,1232,0,1232,1,0,3,1,6,440,2009,147500
6171,6,6,1925,1990,976,1160,448,1608,2,1,3,1,7,216,2009,137450
7200,7,9,1936,2007,560,575,560,1135,1,0,3,1,6,576,2009,155000
7558,6,6,1928,1950,896,1172,741,1913,1,1,3,1,9,342,2009,177000
6292,7,7,1928,1950,861,877,600,1477,2,0,3,1,6,216,2009,145000
7155,7,8,1918,1990,600,628,600,1228,1,0,3,1,6,215,2009,137000
10918,7,9,1926,2004,1276,1276,804,2080,1,1,3,1,9,282,2009,234000
13680,5,6,1940,1950,840,840,727,1567,1,1,2,1,6,440,2009,205000
7500,6,7,1942,1950,771,753,741,1494,1,0,3,1,7,213,2009,177500
9600,5,7,1940,1950,728,976,332,1308,1,1,2,1,7,256,2009,160000
14680,5,4,1960,1960,1273,1273,0,1273,1,0,2,1,5,307,2009,155000
13360,5,7,1921,2006,876,964,0,964,1,0,2,1,5,432,2009,163500
7681,5,6,1921,1950,731,820,523,1343,1,1,3,1,7,186,2009,154900
8145,7,6,1940,1950,920,1240,1240,2480,2,1,5,2,13,400,2009,205000
9100,5,6,1954,1954,1112,1112,0,1112,1,0,2,1,6,390,2009,144800
12000,7,7,1941,1950,704,860,704,1564,1,1,3,1,7,234,2009,174500
13339,6,6,1960,1960,1561,1561,0,1561,2,0,3,1,6,463,2009,193000
15600,5,7,1949,2005,1067,986,537,1523,2,0,3,1,7,295,2009,158000
14000,6,8,1950,2004,1092,1152,0,1152,1,0,3,1,6,300,2009,158500
17500,6,5,1954,1954,1310,1906,0,1906,1,1,3,1,6,576,2009,224000
1733,6,6,1980,1980,516,516,516,1032,1,0,2,1,5,452,2009,115000
1488,6,6,1980,1992,561,561,668,1229,1,1,2,1,5,462,2009,137000
1612,6,6,1980,1980,561,561,668,1229,1,1,2,1,5,462,2009,121000
1300,6,6,1980,1980,561,561,668,1229,1,1,2,1,5,462,2009,124000
13607,6,6,1986,1986,572,1182,800,1982,2,1,3,1,6,501,2009,208000
17597,7,9,1971,2009,1803,2365,0,2365,2,0,3,1,7,551,2009,315000
21695,6,9,1988,2007,880,1680,0,1680,2,0,3,1,5,540,2009,222000
10690,5,7,1920,1997,672,672,672,1344,1,0,3,1,6,468,2009,147000
8660,5,6,1900,1993,760,928,928,2168,2,0,5,1,11,576,2009,123000
6402,5,5,1920,1950,596,596,596,1192,1,0,3,1,6,189,2009,78000
8470,3,2,1915,1982,1013,1013,0,1526,1,0,2,1,6,0,2009,85000
10200,4,6,1925,1950,572,572,0,572,1,0,2,1,4,200,2009,75000
3843,8,5,2007,2008,1596,1648,0,1648,2,0,2,1,5,482,2009,230000
21780,2,4,1910,1950,0,810,0,810,1,0,1,1,4,280,2009,57625
10125,8,5,2000,2001,1107,1040,1012,2052,2,1,3,1,7,642,2009,251000
12822,7,5,2003,2003,1434,1518,631,2149,1,1,1,1,6,670,2009,239686
12118,7,5,2004,2005,1710,1710,0,1710,2,0,3,1,7,550,2009,240000
12209,6,5,2001,2002,804,804,1157,1961,2,1,3,1,7,560,2009,215000
9750,6,6,1977,1977,902,926,0,926,1,0,2,1,5,351,2009,156450
9360,6,7,1977,1977,957,1287,0,1287,1,1,2,1,5,541,2009,173000
10125,5,5,1977,1977,0,1302,432,1734,2,0,4,2,8,539,2009,126000
9947,7,5,1990,1991,1188,1217,0,1217,2,0,3,1,6,497,2009,173000
11070,5,5,1991,1991,1582,1595,0,1595,2,0,2,1,5,672,2009,152000
14375,6,6,1958,1958,819,1344,0,1344,1,0,3,1,7,525,2009,137500
215245,7,5,1965,1965,2136,2036,0,2036,2,0,3,1,8,513,2009,375000
12898,9,5,2007,2008,1620,1620,0,1620,2,0,2,1,6,912,2009,315500
13159,7,5,2009,2009,846,846,846,1692,2,1,3,1,6,650,2009,224500
13438,9,5,2008,2008,2190,2036,0,2036,2,0,3,1,9,780,2009,410000
14463,9,5,2008,2008,1641,1641,0,1641,2,0,3,1,7,885,2009,316500
8925,8,5,2007,2007,1466,1466,0,1466,2,0,3,1,7,610,2009,201000
11457,6,5,1988,1988,1392,1412,0,1412,2,0,3,1,6,576,2009,175000
9839,6,8,1980,2006,712,1375,862,2237,2,1,3,1,7,440,2009,204000
14419,7,5,1987,1989,1645,1479,0,1479,2,1,3,1,7,578,2009,213500
6853,8,5,2001,2002,1267,1296,0,1296,2,0,2,1,6,471,2009,220000
9157,7,5,2003,2003,912,1072,942,2014,2,1,3,1,9,486,2009,170000
14601,9,5,2006,2006,1838,1838,0,1838,2,0,2,1,8,765,2009,315000
12633,9,5,2007,2007,1978,1978,0,1978,2,0,2,1,7,920,2009,425000
12518,5,7,1968,1968,1008,1008,0,1008,1,0,3,1,6,384,2009,139500
21750,5,4,1960,2006,0,1771,0,1771,1,0,3,1,9,336,2009,115000
4500,6,5,1998,1998,1204,1204,0,1204,2,0,2,1,5,412,2009,162000
4500,6,5,1999,1999,1224,1224,0,1224,2,0,2,1,5,402,2009,165000
1596,4,5,1973,1973,462,526,462,988,1,0,2,1,5,297,2009,91000
9858,5,6,1968,1968,864,874,0,874,1,0,3,1,5,288,2009,130000
1526,4,8,1970,2002,630,630,0,630,1,0,1,1,3,286,2009,86000
13383,5,5,1969,2000,1188,1404,0,1404,2,0,3,1,7,504,2009,160000
1477,4,4,1970,1970,630,630,0,630,1,0,1,1,3,286,2009,80000
1533,4,6,1970,2008,546,798,546,1344,1,1,3,1,6,0,2009,97000
2217,4,4,1970,1970,546,546,546,1092,1,1,3,1,6,286,2009,88000
7689,5,8,1972,1972,796,796,0,796,1,0,2,1,4,336,2009,131900
7706,6,5,1993,1996,384,1091,0,1091,1,0,2,1,5,429,2009,131250
9101,5,6,1978,1978,1097,1110,0,1110,1,0,1,1,4,602,2009,165500
8780,5,5,1985,1985,833,833,0,833,1,0,3,1,5,0,2009,112000
7669,5,6,1992,1993,828,883,0,883,1,0,2,1,5,698,2009,149000
14115,5,5,1993,1995,796,796,566,1362,1,1,1,1,5,480,2009,143000
10429,5,5,1992,1992,624,624,663,1287,1,1,3,1,6,440,2009,130000
9819,6,5,1977,1977,1567,1567,0,1567,2,0,2,1,5,714,2009,196000
10457,5,7,1969,1969,784,784,848,1632,1,1,4,1,7,898,2009,173000
11029,6,8,1958,2002,1184,1414,0,1414,1,0,3,1,6,601,2008,176500
12925,6,7,1970,1970,1205,2117,0,2117,2,1,4,1,7,550,2008,237500
11075,6,5,1969,1969,952,1092,1020,2112,2,1,4,1,9,576,2008,206900
8702,6,5,1997,1998,926,926,678,1604,2,1,3,1,7,470,2008,187500
8139,6,5,1995,1996,680,680,790,1470,2,1,3,1,7,420,2008,165000
9535,6,5,1998,1998,926,926,678,1604,2,1,3,1,7,472,2008,195500
9042,6,5,1998,1998,943,943,695,1638,2,1,3,1,7,472,2008,192000
15038,6,5,1996,1996,916,916,720,1636,2,1,3,1,7,386,2008,173000
14137,5,5,1996,1997,1348,1384,0,1384,2,0,3,1,7,404,2008,177900
21872,7,5,1996,1997,729,729,717,1446,2,1,3,1,6,406,2008,175000
4923,8,5,2001,2002,1593,1593,0,1593,1,1,0,1,5,682,2008,286000
6264,8,5,1997,1997,1664,1682,0,1682,1,1,1,1,6,528,2008,247900
5395,8,5,1993,1993,1337,1337,0,1337,2,0,2,1,5,462,2008,180000
5070,8,5,1992,1992,1280,1280,0,1280,2,0,2,1,5,506,2008,180000
10839,6,5,1997,1998,926,926,678,1604,2,1,3,1,7,470,2008,181000
11184,6,5,1998,1998,932,932,701,1633,2,1,3,1,7,460,2008,183000
8000,6,5,1995,1996,773,773,885,1658,2,1,3,1,8,431,2008,188000
10832,7,5,1994,1996,712,1086,809,1895,2,1,3,1,7,409,2008,194500
14067,6,5,1991,1991,836,851,858,1709,2,1,3,1,7,416,2008,185000
4671,8,5,1988,1989,1228,1228,0,1228,2,0,2,1,5,472,2008,189000
5950,8,5,1989,1989,1337,1337,0,1337,2,0,2,1,5,462,2008,188500
13543,8,5,2005,2005,1168,1168,1332,2500,3,1,5,1,9,683,2008,355000
11198,9,5,2005,2007,1122,1134,1370,2504,2,1,4,1,11,656,2008,325000
15401,9,5,2004,2004,1884,1884,0,1884,2,0,2,1,7,670,2008,387000
31220,6,2,1952,1952,1632,1474,0,1474,1,0,3,1,7,495,2008,115000
8118,9,5,2007,2007,1710,1710,0,1710,2,0,2,1,6,557,2008,334000
47280,6,5,1950,1950,1488,1488,0,1488,2,1,3,1,6,738,2008,133000
20544,7,6,1986,1991,791,1236,857,2093,2,1,3,1,7,542,2008,215000
12680,7,6,1988,1988,1675,1688,0,1688,2,0,2,1,6,528,2008,226500
12090,6,6,1981,1981,1422,1422,0,1422,2,0,3,1,7,576,2008,175500
10825,7,7,1983,1983,1260,1260,0,1260,2,0,3,1,6,598,2008,181900
18559,7,5,1978,1978,2048,2064,0,2064,2,0,3,1,7,550,2008,235000
14450,7,5,1979,1979,1782,1782,0,1782,2,0,3,1,6,551,2008,220000
12227,6,7,1977,1995,1330,1542,1330,2872,2,1,4,1,11,619,2008,272000
13068,6,5,1976,1976,1211,1211,0,1211,2,0,3,1,6,461,2008,161000
15611,5,6,1977,1977,1126,1126,0,1126,2,0,3,1,6,540,2008,175000
10400,7,6,1980,1988,738,1277,767,2044,2,1,3,1,7,489,2008,185000
9743,5,6,1969,1969,720,720,588,1308,1,1,3,1,7,484,2008,146900
12511,7,7,1978,1978,1420,1420,1420,2840,2,1,4,1,8,1314,2008,292500
11361,6,5,1976,1976,1193,1523,0,1523,2,0,3,1,7,478,2008,180000
10400,6,5,1976,1976,1444,1444,0,1444,2,0,2,1,5,473,2008,159900
10480,7,6,1976,1976,803,1098,866,1964,2,1,4,1,8,483,2008,205000
10000,5,6,1973,2000,1176,1178,0,1178,1,1,3,1,5,439,2008,157000
14311,8,5,1996,1996,1236,1236,1104,2340,2,1,4,1,9,787,2008,306000
9000,5,5,1974,1974,896,896,896,1792,2,2,4,2,8,480,2008,133000
9750,6,8,1969,1969,1054,1054,0,1054,1,1,3,1,6,460,2008,151000
10295,4,6,1969,1969,936,936,0,936,1,0,2,1,4,288,2008,111900
7560,5,5,1971,1971,864,864,0,864,1,0,3,1,5,576,2008,123000
12735,4,5,1972,1972,864,864,0,864,1,0,3,1,5,576,2008,111250
4060,6,5,1998,1999,1405,1337,0,1337,2,0,2,1,5,511,2008,181000
1680,6,5,1973,1973,483,483,504,987,1,1,2,1,5,264,2008,103400
1680,6,5,1973,1973,483,483,504,987,1,1,2,1,5,264,2008,100000
1890,6,6,1972,1972,483,483,504,987,1,1,2,1,5,352,2008,100500
1869,6,6,1970,1970,483,483,504,987,1,1,2,1,5,280,2008,106000
1680,6,5,1971,1971,483,483,504,987,1,1,2,1,4,264,2008,85400
1680,6,3,1971,1971,483,483,504,987,1,1,2,1,5,264,2008,89500
1680,5,5,1972,1972,630,630,672,1302,2,1,3,1,6,264,2008,111750
4043,6,6,1977,1977,1069,1069,0,1069,2,0,2,1,4,440,2008,140000
2308,6,6,1975,1975,855,855,601,1456,2,1,4,1,7,460,2008,143000
2529,7,6,1977,1977,1055,1055,0,1055,2,0,2,1,4,440,2008,148500
9477,5,5,1966,1966,864,892,0,892,1,0,3,1,5,264,2008,110000
12444,8,5,2008,2008,1932,1932,0,1932,2,0,2,1,7,774,2008,394617
12474,10,5,2007,2008,1682,1742,590,2332,2,1,3,1,9,846,2008,426000
14803,10,5,2007,2008,2078,2084,0,2084,2,0,2,1,7,1220,2008,385000
14948,9,5,2008,2008,1452,1476,1237,2713,2,1,3,1,11,858,2008,446261
12704,8,5,2007,2007,1582,1582,0,1582,2,0,3,1,7,905,2008,317500
13891,8,5,2007,2008,1710,1710,0,1710,2,0,2,1,6,866,2008,372402
13693,8,5,2007,2007,2418,2464,0,2464,2,1,4,1,9,650,2008,417500
14418,9,5,2007,2007,1950,1950,0,1950,2,0,2,1,7,706,2008,383000
13418,9,5,2006,2006,1850,1850,898,2748,2,1,4,1,9,850,2008,390000
12539,10,5,2005,2006,1620,1632,1158,2790,2,1,4,1,10,1150,2008,460000
12151,9,5,2005,2005,1414,1414,917,2331,2,1,3,1,9,1003,2008,379000
8899,8,5,2007,2007,948,948,1140,2088,2,1,4,1,10,656,2008,250000
10574,8,5,2004,2004,1148,1170,1162,2332,2,1,4,1,9,756,2008,316000
12720,10,5,2003,2003,2535,2470,0,2470,1,1,1,1,7,789,2008,615000
13688,9,5,2003,2004,1572,1572,1096,2668,2,1,3,1,10,726,2008,412500
10625,7,5,2003,2004,998,1006,1040,2046,2,1,3,1,8,871,2008,284000
10845,8,5,2003,2004,1603,1575,0,1575,2,0,2,1,7,732,2008,284000
16900,8,5,2001,2002,1479,1515,1134,2649,2,1,4,1,10,746,2008,421250
16451,8,5,2003,2003,1765,1804,886,2690,2,1,4,1,9,795,2008,370000
10110,9,5,2008,2008,1858,1866,0,1866,2,0,2,1,7,870,2008,336860
